date,username,tweet
5/10/2022 15:26,icalofish,5 Jenis Ikan Pembawa Keberuntungan Ikan Hias Pembawa Hoki  https://t.co/FQEP6eDOg7 lewat @YouTube   Damsir Winda Haaland Jerman LGBT
5/10/2022 15:25,bayusanjaya_id,@Singgipratama6 @rachmaiv028 Itu yg harus diperjuangkan di negara ini. Supaya lebih tegas terhadap LGBT.  Syukur ada undang2nya..biar ada hukum yg mengatur.  Apakah mau menunggu Hukum Tuhan?
5/10/2022 15:25,porakporandaa,"setuju kaum lgbt bisa hidup, tp tidak setuju dgn pembenaran akan hubungan sejenis.  hypocrite? yes. idc. semua ada batasnya.   ""dimana bumi dipijak, disitu langit dijunjung"""
5/10/2022 15:25,muzarif,"@wra_by @FNazy14 @EvanShanty @ditoklimaks @karimnas_ Yg ndak setuju LGBT tuh ndak hanya islam saja, bahkan bukan hanya HTI dan PKS, koq yg disalahkan hanya islam dan bahkan hanya HTI dan PKS? Ck...ck..ck"
5/10/2022 15:25,DuitTerooosss,"@agentam2 @Ryanwehlaheuy @sleepyqr @adam_nurudin @whekeuhwcdvausf @caretocomehome And i have free right to think.. Sama aja dong?? Gw brpikir apa ttg lgbt lu protes dri td.. Smentara tindakkan kalian gak boleh di protes gtu?? Klo lu mau tell how to survive ya ngomong ke mreka, ngapain lu ngdebat yg normal? Gw kan bukan bagian dri lu.."
5/10/2022 15:25,hambaaallaaah,"@estiningsihdwi astagfirullah 🥹, emang lgbt harus dibasmi sampai akar” nya sih"
5/10/2022 15:24,AndiSet50655680,"@PramudyaSubur Saya tdk setujuh LGBT,  ttp kalau nyalahkan Jokowi itu  otak konslete"
5/10/2022 15:24,Alamsyart_,"Giliran dikasih fakta ada hewan lgbt pasti jawabnya ""masak mau disamain sama hewan"""
5/10/2022 15:24,KangMaman204,Deddy Corbuzier Take Down Video-Video Berkonten LGBT dari Akun YouTube-nya  https://t.co/VsypqdD4L8
5/10/2022 15:24,suhariadi30,"Nista bener gawemu demi  naikkan folower undang LGBT manggung, dongooookk!!!"
5/10/2022 15:24,theclaay,"Perkara video podcast close the door yang ""promo"" in lgbt di indonesia, gue sangat tidak setuju. Dan ybs mau minta maaf atau dikasuskan itu terserah tindak lanjut dr pihak yg berwenang.   Tetapi kita bisa mengakhiri ini, dengan tidak menonton video  dr channel dia. Its our choice"
5/10/2022 15:23,Wagymin02,@detikcom Yg di hapus Vidio Pasangan gay doang? Yg lesbi? LGBT kan ada kepanjangannya.
5/10/2022 15:23,shoffanbanany,Le Coq Sportif Teluna Bound Court Shoes QL1PJC21SV-SILVER    https://t.co/udyxKBsKWN  LGBT / Gus Miftah / 10 Mei Winda / NGEKOS / THR habis / Suci #UnsubscribePodcastCorbuzier  https://t.co/iPRNJMpxjh
5/10/2022 15:23,tvOneNews,"Permohonan Maaf Deddy Corbuzier ke Netizen: Saya Enggak Dukung LGBT, tapi. . .  https://t.co/Nd1GIfi6eu"
5/10/2022 15:23,ahyarichenkoACM,"@banyubiru9991 @VerenaUngu Kalian pengidap penyakit LGBT silahkan hidup dengan hak yang sama, tp tolong jangan sebarkan cara hidup kalian dan memaksa kami yg normal ini harus tunduk dan maklum dengan penyakit kalian. Kami taat dengan perintah Tuhan kami, jadi hargailah itu jangan malah merasa didzolimi."
5/10/2022 15:23,awhsar,@bachrum_achmadi Setuju sekali Bro!... Tak ada satupun Agama yg mengajarkan prilaku LGBT
